1976,203,2181,217,2175,296,1970,282
943,314,1206,314,1206,361,943,361
1422,318,1707,313,1708,360,1423,366
742,319,876,319,876,361,742,361
897,324,928,324,928,361,897,361
1217,319,1408,319,1408,366,1217,366
1934,319,2042,319,2042,386,1934,386
2047,324,2125,324,2125,386,2047,386
2125,330,2238,330,2238,397,2125,397
784,415,1017,420,1016,470,782,464
1031,417,1320,417,1320,464,1031,464
1387,417,1671,417,1671,464,1387,464
1341,428,1371,428,1371,464,1341,464
1108,520,1222,520,1222,567,1108,567
1232,520,1346,520,1346,562,1232,562
1629,665,1712,665,1712,716,1629,716
546,670,804,670,804,716,546,716
820,670,881,670,881,716,820,716
1150,670,1335,670,1335,716,1150,716
1351,670,1609,670,1609,716,1351,716
324,675,474,675,474,716,324,716
897,675,1010,675,1010,716,897,716
1026,675,1134,675,1134,716,1026,716
324,773,505,773,505,820,324,820
546,773,608,773,608,814,546,814
655,778,685,778,685,814,655,814
732,778,778,778,778,814,732,814
804,778,959,778,959,820,804,820
324,876,453,876,453,923,324,923
546,876,685,876,685,918,546,918
706,881,758,881,758,923,706,923
773,876,881,876,881,918,773,918
732,979,783,979,783,1021,732,1021
799,974,1058,979,1057,1026,798,1021
1083,979,1155,979,1155,1021,1083,1021
1181,979,1232,979,1232,1021,1181,1021
1258,979,1310,979,1310,1021,1258,1021
1330,979,1562,979,1562,1026,1330,1026
1584,977,1664,984,1660,1022,1581,1015
1686,979,1738,979,1738,1016,1686,1016
1758,974,1815,974,1815,1021,1758,1021
1841,979,2021,979,2021,1026,1841,1026
330,979,407,979,407,1021,330,1021
551,985,629,985,629,1021,551,1021
655,985,706,985,706,1021,655,1021
557,1031,629,1031,629,1072,557,1072
655,1031,706,1031,706,1072,655,1072
732,1031,861,1031,861,1072,732,1072
861,1030,961,1037,958,1079,858,1072
985,1031,1057,1031,1057,1072,985,1072
1160,1031,1206,1031,1206,1072,1160,1072
1232,1031,1459,1031,1459,1072,1232,1072
1485,1031,1542,1031,1542,1067,1485,1067
1588,1031,1635,1031,1635,1067,1588,1067
1660,1031,1712,1031,1712,1072,1660,1072
1738,1026,1867,1026,1867,1072,1738,1072
1083,1036,1134,1036,1134,1072,1083,1072
1867,1036,1970,1036,1970,1072,1867,1072
557,1083,613,1083,613,1124,557,1124
655,1083,691,1083,691,1124,655,1124
732,1083,783,1083,783,1119,732,1119
805,1081,965,1088,963,1132,803,1126
1005,1083,1083,1083,1083,1119,1005,1119
1108,1083,1160,1083,1160,1119,1108,1119
1181,1083,1310,1083,1310,1119,1181,1119
335,1227,417,1227,417,1273,335,1273
436,1240,612,1227,615,1273,439,1286
629,1227,835,1227,835,1273,629,1273
861,1232,918,1232,918,1268,861,1268
938,1232,1114,1232,1114,1273,938,1273
1134,1232,1315,1232,1315,1279,1134,1279
1418,1232,1542,1232,1542,1279,1418,1279
1562,1232,1671,1232,1671,1268,1562,1268
1691,1232,1800,1232,1800,1268,1691,1268
1820,1232,2027,1232,2027,1273,1820,1273
2052,1232,2104,1232,2104,1268,2052,1268
1341,1237,1418,1237,1418,1279,1341,1279
804,1273,861,1273,861,1320,804,1320
335,1279,464,1279,464,1325,335,1325
510,1284,587,1284,587,1320,510,1320
612,1289,737,1283,739,1322,614,1329
737,1284,789,1284,789,1320,737,1320
892,1284,1016,1284,1016,1320,892,1320
1040,1288,1314,1280,1316,1320,1042,1328
1439,1284,1567,1284,1567,1320,1439,1320
1593,1284,1645,1284,1645,1320,1593,1320
1671,1284,1748,1284,1748,1320,1671,1320
1769,1284,1975,1284,1975,1320,1769,1320
1341,1289,1418,1289,1418,1320,1341,1320
691,1330,794,1330,794,1371,691,1371
809,1330,943,1330,943,1371,809,1371
1212,1330,1263,1330,1263,1371,1212,1371
340,1335,469,1335,469,1371,340,1371
489,1335,536,1335,536,1371,489,1371
587,1335,665,1335,665,1371,587,1371
964,1335,1191,1335,1191,1377,964,1377
1289,1335,1397,1335,1397,1371,1289,1371
1413,1341,1516,1341,1516,1371,1413,1371
789,1428,892,1428,892,1469,789,1469
1464,1423,1598,1423,1598,1469,1464,1469
1619,1428,1722,1428,1722,1469,1619,1469
1721,1430,1928,1422,1929,1468,1722,1476
438,1428,489,1428,489,1469,438,1469
557,1428,644,1428,644,1469,557,1469
660,1433,768,1433,768,1469,660,1469
918,1433,1165,1433,1165,1469,918,1469
1289,1433,1418,1433,1418,1469,1289,1469
1929,1433,2057,1433,2057,1469,1929,1469
1191,1439,1268,1439,1268,1469,1191,1469
1268,1480,1449,1480,1449,1521,1268,1521
561,1490,794,1483,795,1524,562,1532
809,1480,866,1480,866,1526,809,1526
887,1485,995,1485,995,1521,887,1521
1016,1485,1145,1485,1145,1521,1016,1521
1165,1485,1243,1485,1243,1521,1165,1521
1444,1578,1573,1578,1573,1619,1444,1619
438,1578,495,1578,495,1624,438,1624
562,1578,644,1578,644,1624,562,1624
665,1583,768,1583,768,1624,665,1624
789,1583,897,1583,897,1619,789,1619
918,1583,1170,1583,1170,1624,918,1624
1290,1580,1420,1587,1418,1625,1288,1619
1573,1583,1702,1583,1702,1619,1573,1619
1722,1583,1831,1583,1831,1624,1722,1624
1876,1588,2109,1582,2110,1624,1877,1630
1191,1588,1273,1588,1273,1619,1191,1619
562,1629,618,1629,618,1676,562,1676
639,1629,722,1629,722,1671,639,1671
742,1635,794,1635,794,1671,742,1671
814,1629,897,1629,897,1671,814,1671
918,1635,1196,1635,1196,1676,918,1676
1217,1635,1371,1635,1371,1671,1217,1671
1397,1635,1475,1635,1475,1671,1397,1671
1495,1635,1578,1635,1578,1671,1495,1671
1645,1629,1758,1629,1758,1671,1645,1671
443,1727,495,1727,495,1774,443,1774
562,1727,649,1727,649,1774,562,1774
665,1733,773,1733,773,1774,665,1774
794,1733,902,1733,902,1774,794,1774
923,1733,1170,1733,1170,1774,923,1774
1295,1730,1425,1736,1423,1775,1293,1769
1449,1733,1702,1733,1702,1769,1449,1769
1729,1726,1860,1738,1856,1781,1725,1768
1876,1738,2114,1732,2115,1774,1877,1780
1196,1738,1273,1738,1273,1769,1196,1769
1516,1774,1655,1774,1655,1820,1516,1820
1671,1774,1805,1774,1805,1820,1671,1820
639,1779,727,1779,727,1820,639,1820
747,1784,799,1784,799,1820,747,1820
820,1784,897,1784,897,1820,820,1820
918,1784,1047,1784,1047,1820,918,1820
1045,1789,1196,1783,1197,1821,1047,1827
1222,1784,1377,1784,1377,1820,1222,1820
1423,1784,1500,1784,1500,1820,1423,1820
1882,1784,1959,1784,1959,1820,1882,1820
1959,1784,2057,1784,2057,1820,1959,1820
2057,1784,2135,1784,2135,1820,2057,1820
567,1784,618,1784,618,1825,567,1825
969,1872,1047,1872,1047,1923,969,1923
1124,1876,1377,1882,1376,1927,1123,1922
443,1877,500,1877,500,1923,443,1923
567,1877,649,1877,649,1923,567,1923
670,1882,773,1882,773,1923,670,1923
794,1882,902,1882,902,1923,794,1923
1041,1877,1098,1877,1098,1923,1041,1923
1372,1871,1553,1879,1551,1930,1370,1922
1573,1882,1660,1882,1660,1918,1573,1918
1676,1882,1733,1882,1733,1918,1676,1918
1753,1882,1805,1882,1805,1923,1753,1923
1831,1882,1882,1882,1882,1923,1831,1923
1908,1882,1985,1882,1985,1929,1908,1929
923,1887,949,1887,949,1923,923,1923
572,1934,753,1934,753,1970,572,1970
345,2027,526,2027,526,2073,345,2073
546,2032,598,2032,598,2073,546,2073
624,2032,876,2032,876,2078,624,2078
1150,2032,1201,2032,1201,2073,1150,2073
1000,2037,1129,2037,1129,2073,1000,2073
1299,2037,1356,2037,1356,2073,1299,2073
1356,2037,1557,2037,1557,2073,1356,2073
897,2042,979,2042,979,2073,897,2073
1227,2042,1279,2042,1279,2073,1227,2073
995,2125,1077,2125,1077,2171,995,2171
1098,2130,1330,2130,1330,2171,1098,2171
355,2135,407,2135,407,2171,355,2171
701,2130,804,2130,804,2171,701,2171
1351,2135,1459,2135,1459,2171,1351,2171
1475,2135,1583,2135,1583,2171,1475,2171
1604,2130,1735,2136,1732,2177,1602,2171
1753,2130,1841,2130,1841,2171,1753,2171
